Daily Holdings (%)  12/15/2025,,,,,,,,
,,,,,,,,
Number,Ticker,Holding Name,Identifier (FIGI),Shares,Asset Class,Market Value (US$),Notional Value,% of Net Assets
58,CRM US,Salesforce.Com Inc,BBG000BN2DC2,"2,039",Stock,"$519,088.62",--,0.49%
59,ADBE US,Adobe Inc,BBG000BB5006,"1,290",Stock,"$452,983.50",--,0.43%
60,TGT US,Target Corp,BBG000H8TVT2,"4,375",Stock,"$426,825.00",--,0.40%
61,QCOM US,Qualcomm Inc,BBG000CGC1X8,"2,376",Stock,"$425,921.76",--,0.40%
62,LLY US,Eli Lilly & Co,BBG000BNBDC2,396,Stock,"$420,627.24",--,0.40%
63,BE US,Bloom Energy Corp,BBG000N7KBZ3,"4,634",Stock,"$415,113.72",--,0.39%
64,RIOT US,Riot Platforms Inc,BBG000BQ4512,"29,812",Stock,"$408,722.52",--,0.39%
65,AG US,First Majestic Silver Corp,BBG000CH7WB8,"25,361",Stock,"$406,790.44",--,0.39%
66,GRAB US,Grab Holdings Ltd,BBG011768M53,"77,168",Stock,"$387,383.36",--,0.37%
67,DECK US,Deckers Outdoor Corp,BBG000BKXYX5,"3,633",Stock,"$377,795.67",--,0.36%
68,MRNA US,Moderna Inc,BBG003PHHZT1,"12,185",Stock,"$364,575.20",--,0.35%
69,T US,At&T Inc,BBG000BSJK37,"14,897",Stock,"$362,146.07",--,0.34%
70,UBER US,Uber Technologies Inc,BBG002B04MT8,"4,296",Stock,"$351,670.56",--,0.33%
71,IBM US,International Business Machines Corp,BBG000BLNNH6,"1,131",Stock,"$349,094.46",--,0.33%
72,F US,Ford Motor Co,BBG000BQPC32,"24,986",Stock,"$341,058.90",--,0.32%
73,B US,Barrick Mining Corp,BBG000BB07P9,"7,248",Stock,"$314,128.32",--,0.30%
74,TEM US,Tempus Ai Inc,BBG01MZQYJF9,"4,264",Stock,"$292,808.88",--,0.28%
75,JOBY US,Joby Aviation Inc,BBG00X2MYTC2,"20,568",Stock,"$291,859.92",--,0.28%
76,-USD CASH-,,,"85,963",Cash Bal,"$85,962.54",--,0.08%
77,--,Other/Cash,--,--,Cash,"$-21,230.27",--,-0.02%
These are not recommendations to buy or to sell any security. Securities and holdings may vary.,,,,,,,,
